CustomerID,ReasonForLeaving,OverallExperience,SpecificIssues,Suggestions,FollowUp,ChurnType
CUST100035,None,Very Satisfied,None,None,No,Active
CUST100036,None,Neutral,None,None,No,Loyal
CUST100037,None,Very Dissatisfied,None,None,No,Engaged
CUST100038,None,Dissatisfied,None,None,No,Loyal
CUST100039,None,Very Satisfied,None,None,No,Loyal
CUST100040,Delivery issues,Satisfied,Damaged products,Enhance delivery service,Yes,Downgrade
CUST100041,Better options elsewhere,Very Dissatisfied,Damaged products,Improve product quality,No,Downgrade
CUST100042,None,Neutral,None,None,No,Engaged
CUST100043,None,Neutral,None,None,No,Engaged
CUST100044,None,Dissatisfied,None,None,No,Active
CUST100045,None,Very Satisfied,None,None,No,Loyal
CUST100046,None,Very Dissatisfied,None,None,No,Engaged
CUST100047,None,Very Dissatisfied,None,None,No,Engaged
CUST100048,None,Satisfied,None,None,No,Loyal
CUST100049,None,Satisfied,None,None,No,Active
CUST100050,None,Very Satisfied,None,None,No,Loyal
CUST100051,None,Neutral,None,None,No,Active
CUST100052,None,Very Satisfied,None,None,No,Engaged
CUST100053,None,Very Satisfied,None,None,No,Engaged
CUST100054,None,Very Dissatisfied,None,None,No,Active
CUST100055,None,Very Satisfied,None,None,No,Active
CUST100056,None,Satisfied,None,None,No,Active
CUST100057,Limited selection,Neutral,Late deliveries,Lower prices,No,Downgrade
CUST100058,None,Dissatisfied,None,None,No,Engaged
CUST100059,None,Very Dissatisfied,None,None,No,Engaged
CUST100060,None,Neutral,None,None,No,Active
CUST100061,None,Dissatisfied,None,None,No,Active
CUST100062,None,Very Satisfied,None,None,No,Engaged
CUST100063,Limited selection,Satisfied,Late deliveries,Lower prices,No,Inactive
CUST100064,None,Very Satisfied,None,None,No,Engaged
CUST100065,None,Neutral,None,None,No,Active
CUST100066,Better options elsewhere,Dissatisfied,Customer service problems,Increase selection,No,Involuntary
CUST100067,None,Very Satisfied,None,None,No,Engaged
CUST100068,None,Neutral,None,None,No,Active
CUST100069,Other,Very Dissatisfied,Damaged products,Better customer support,Yes,Voluntary
CUST100070,None,Very Satisfied,None,None,No,Loyal
CUST100071,Delivery issues,Dissatisfied,Late deliveries,Increase selection,Yes,Downgrade
CUST100072,None,Neutral,None,None,No,Active
CUST100073,None,Neutral,None,None,No,Active
CUST100074,Delivery issues,Very Satisfied,Late deliveries,Better customer support,Yes,Involuntary
CUST100075,None,Satisfied,None,None,No,Active
CUST100076,None,Dissatisfied,None,None,No,Active
CUST100077,Limited selection,Very Satisfied,Customer service problems,Lower prices,Yes,Voluntary
CUST100078,None,Satisfied,None,None,No,Active
CUST100079,None,Neutral,None,None,No,Engaged
CUST100080,Better options elsewhere,Very Dissatisfied,Late deliveries,Better customer support,No,Voluntary
CUST100081,None,Very Satisfied,None,None,No,Active
CUST100082,None,Very Dissatisfied,None,None,No,Loyal
CUST100083,None,Neutral,None,None,No,Engaged
CUST100084,None,Satisfied,None,None,No,Engaged
CUST100085,None,Very Dissatisfied,None,None,No,Loyal
CUST100086,None,Dissatisfied,None,None,No,Active
CUST100087,None,Dissatisfied,None,None,No,Active
CUST100088,None,Neutral,None,None,No,Loyal
CUST100089,None,Dissatisfied,None,None,No,Loyal
CUST100090,None,Very Satisfied,None,None,No,Active
CUST100091,None,Neutral,None,None,No,Engaged
CUST100092,None,Very Satisfied,None,None,No,Loyal
CUST100093,None,Neutral,None,None,No,Engaged
CUST100094,None,Neutral,None,None,No,Loyal
CUST100095,Other,Dissatisfied,Customer service problems,Enhance delivery service,Yes,Downgrade
CUST100096,None,Dissatisfied,None,None,No,Engaged
CUST100097,None,Dissatisfied,None,None,No,Engaged
CUST100098,None,Very Dissatisfied,None,None,No,Loyal
CUST100099,None,Very Satisfied,None,None,No,Engaged
CUST100100,None,Very Dissatisfied,None,None,No,Loyal
CUST100101,None,Satisfied,None,None,No,Loyal
CUST100102,Other,Satisfied,Damaged products,Lower prices,No,Voluntary
CUST100103,None,Dissatisfied,None,None,No,Active
CUST100104,None,Very Dissatisfied,None,None,No,Loyal
CUST100105,None,Very Dissatisfied,None,None,No,Engaged
CUST100106,None,Very Satisfied,None,None,No,Loyal
CUST100107,None,Very Satisfied,None,None,No,Active
CUST100108,None,Satisfied,None,None,No,Loyal
CUST100109,None,Satisfied,None,None,No,Loyal
CUST100110,None,Very Dissatisfied,None,None,No,Active
CUST100111,None,Neutral,None,None,No,Active
CUST100112,None,Dissatisfied,None,None,No,Active
CUST100113,None,Very Satisfied,None,None,No,Engaged
CUST100114,None,Satisfied,None,None,No,Active
CUST100115,None,Neutral,None,None,No,Loyal
CUST100116,None,Neutral,None,None,No,Engaged
CUST100117,None,Dissatisfied,None,None,No,Engaged
CUST100118,Delivery issues,Neutral,Late deliveries,Increase selection,Yes,Involuntary
CUST100119,None,Satisfied,None,None,No,Active
CUST100120,None,Satisfied,None,None,No,Engaged
CUST100121,None,Dissatisfied,None,None,No,Active
CUST100122,None,Very Satisfied,None,None,No,Loyal
CUST100123,None,Satisfied,None,None,No,Active
CUST100124,None,Neutral,None,None,No,Engaged
CUST100125,None,Very Dissatisfied,None,None,No,Active
CUST100126,Better options elsewhere,Neutral,Damaged products,Better customer support,Yes,Inactive
CUST100127,None,Very Satisfied,None,None,No,Loyal
CUST100128,None,Dissatisfied,None,None,No,Loyal
CUST100129,None,Neutral,None,None,No,Active
CUST100130,None,Satisfied,None,None,No,Engaged
CUST100131,None,Very Dissatisfied,None,None,No,Engaged
CUST100132,None,Satisfied,None,None,No,Active
CUST100133,None,Neutral,None,None,No,Engaged
CUST100134,None,Satisfied,None,None,No,Engaged
CUST100135,None,Dissatisfied,None,None,No,Loyal
CUST100136,None,Dissatisfied,None,None,No,Loyal
CUST100137,None,Very Dissatisfied,None,None,No,Engaged
CUST100138,None,Neutral,None,None,No,Engaged
CUST100139,None,Dissatisfied,None,None,No,Engaged
CUST100140,None,Dissatisfied,None,None,No,Active
CUST100141,None,Very Satisfied,None,None,No,Loyal
CUST100142,None,Dissatisfied,None,None,No,Loyal
CUST100143,None,Neutral,None,None,No,Loyal
CUST100144,None,Neutral,None,None,No,Active
CUST100145,None,Satisfied,None,None,No,Active
CUST100146,None,Dissatisfied,None,None,No,Active
CUST100147,None,Very Satisfied,None,None,No,Engaged
CUST100148,None,Very Satisfied,None,None,No,Engaged
CUST100149,None,Very Dissatisfied,None,None,No,Loyal
CUST100150,None,Neutral,None,None,No,Active
CUST100151,Other,Very Dissatisfied,None,Better customer support,Yes,Voluntary
CUST100152,None,Neutral,None,None,No,Engaged
CUST100153,None,Satisfied,None,None,No,Active
CUST100154,None,Neutral,None,None,No,Loyal
CUST100155,Better options elsewhere,Very Satisfied,Customer service problems,Lower prices,Yes,Inactive
CUST100156,None,Satisfied,None,None,No,Active
CUST100157,None,Very Dissatisfied,None,None,No,Active
CUST100158,Other,Dissatisfied,Late deliveries,Enhance delivery service,No,Downgrade
CUST100159,None,Very Dissatisfied,None,None,No,Loyal
CUST100160,None,Satisfied,None,None,No,Loyal
CUST100161,None,Neutral,None,None,No,Engaged
CUST100162,None,Dissatisfied,None,None,No,Loyal
CUST100163,None,Satisfied,None,None,No,Loyal
CUST100164,Poor product quality,Satisfied,Customer service problems,Enhance delivery service,Yes,Involuntary
CUST100165,None,Neutral,None,None,No,Active
CUST100166,None,Neutral,None,None,No,Engaged
CUST100167,None,Dissatisfied,None,None,No,Loyal
CUST100168,None,Neutral,None,None,No,Loyal
CUST100169,None,Very Dissatisfied,None,None,No,Engaged
CUST100170,None,Neutral,None,None,No,Loyal
CUST100171,None,Satisfied,None,None,No,Loyal
CUST100172,None,Dissatisfied,None,None,No,Active
CUST100173,None,Neutral,None,None,No,Loyal
CUST100174,None,Very Dissatisfied,None,None,No,Loyal
CUST100175,None,Very Satisfied,None,None,No,Loyal
CUST100176,None,Neutral,None,None,No,Engaged
CUST100177,None,Very Satisfied,None,None,No,Loyal
CUST100178,Other,Very Dissatisfied,None,Better customer support,No,Inactive
CUST100179,None,Neutral,None,None,No,Active
CUST100180,None,Satisfied,None,None,No,Engaged
CUST100181,None,Dissatisfied,None,None,No,Loyal
CUST100182,None,Very Satisfied,None,None,No,Loyal
CUST100183,None,Dissatisfied,None,None,No,Active
CUST100184,None,Dissatisfied,None,None,No,Active
CUST100185,None,Very Dissatisfied,None,None,No,Active
CUST100186,None,Very Satisfied,None,None,No,Active
CUST100187,None,Very Satisfied,None,None,No,Active
CUST100188,None,Very Dissatisfied,None,None,No,Active
CUST100189,None,Very Dissatisfied,None,None,No,Loyal
CUST100190,None,Very Dissatisfied,None,None,No,Active
CUST100191,None,Dissatisfied,None,None,No,Loyal
CUST100192,None,Very Satisfied,None,None,No,Engaged
CUST100193,High prices,Satisfied,Damaged products,Improve product quality,Yes,Voluntary
CUST100194,None,Very Satisfied,None,None,No,Loyal
CUST100195,None,Satisfied,None,None,No,Active
CUST100196,Poor product quality,Very Dissatisfied,Customer service problems,Improve product quality,Yes,Downgrade
CUST100197,None,Very Satisfied,None,None,No,Loyal
CUST100198,None,Dissatisfied,None,None,No,Active
CUST100199,None,Satisfied,None,None,No,Engaged
CUST100200,None,Very Satisfied,None,None,No,Active
CUST100201,None,Dissatisfied,None,None,No,Active
CUST100202,None,Very Dissatisfied,None,None,No,Engaged
CUST100203,None,Dissatisfied,None,None,No,Active
CUST100204,None,Dissatisfied,None,None,No,Loyal
CUST100205,Limited selection,Very Satisfied,Late deliveries,Improve product quality,Yes,Involuntary
CUST100206,None,Very Dissatisfied,None,None,No,Loyal
CUST100207,None,Satisfied,None,None,No,Engaged
CUST100208,None,Very Dissatisfied,None,None,No,Loyal
CUST100209,None,Very Satisfied,None,None,No,Active
CUST100210,None,Very Dissatisfied,None,None,No,Loyal
CUST100211,None,Very Dissatisfied,None,None,No,Engaged
CUST100212,None,Satisfied,None,None,No,Loyal
CUST100213,Better options elsewhere,Dissatisfied,Late deliveries,Lower prices,No,Involuntary
CUST100214,None,Dissatisfied,None,None,No,Loyal
CUST100215,Better options elsewhere,Satisfied,Customer service problems,Increase selection,Yes,Voluntary
CUST100216,None,Very Dissatisfied,None,None,No,Engaged
CUST100217,None,Very Dissatisfied,None,None,No,Active
CUST100218,None,Very Satisfied,None,None,No,Engaged
CUST100219,None,Neutral,None,None,No,Loyal
CUST100220,None,Dissatisfied,None,None,No,Active
CUST100221,High prices,Neutral,Damaged products,Enhance delivery service,Yes,Voluntary
CUST100222,Poor product quality,Neutral,Customer service problems,Increase selection,Yes,Voluntary
CUST100223,High prices,Satisfied,Customer service problems,Better customer support,No,Involuntary
CUST100224,None,Satisfied,None,None,No,Active
CUST100225,None,Neutral,None,None,No,Active
CUST100226,None,Neutral,None,None,No,Loyal
CUST100227,None,Very Dissatisfied,None,None,No,Loyal
CUST100228,None,Dissatisfied,None,None,No,Active
CUST100229,None,Very Dissatisfied,None,None,No,Loyal
CUST100230,None,Satisfied,None,None,No,Loyal
CUST100231,Better options elsewhere,Dissatisfied,Damaged products,Better customer support,No,Involuntary
CUST100232,None,Very Satisfied,None,None,No,Loyal
CUST100233,None,Very Satisfied,None,None,No,Loyal
CUST100234,None,Very Dissatisfied,None,None,No,Engaged
CUST100235,None,Neutral,None,None,No,Active
CUST100236,None,Neutral,None,None,No,Active
CUST100237,None,Satisfied,None,None,No,Loyal
CUST100238,None,Very Dissatisfied,None,None,No,Engaged
CUST100239,None,Satisfied,None,None,No,Active
CUST100240,None,Neutral,None,None,No,Loyal
CUST100241,Other,Satisfied,None,Lower prices,Yes,Downgrade
CUST100242,None,Dissatisfied,None,None,No,Engaged
CUST100243,None,Satisfied,None,None,No,Active
CUST100244,None,Very Dissatisfied,None,None,No,Active
CUST100245,None,Very Dissatisfied,None,None,No,Active
CUST100246,None,Neutral,None,None,No,Active
CUST100247,None,Very Satisfied,None,None,No,Engaged
CUST100248,None,Neutral,None,None,No,Engaged
CUST100249,None,Satisfied,None,None,No,Active
CUST100250,None,Very Dissatisfied,None,None,No,Loyal
CUST100251,None,Dissatisfied,None,None,No,Engaged
CUST100252,None,Neutral,None,None,No,Engaged
CUST100253,None,Neutral,None,None,No,Engaged
CUST100254,None,Very Dissatisfied,None,None,No,Engaged
CUST100255,None,Dissatisfied,None,None,No,Active
CUST100256,None,Satisfied,None,None,No,Loyal
CUST100257,Better options elsewhere,Satisfied,Payment issues,Increase selection,No,Inactive
CUST100258,None,Very Satisfied,None,None,No,Loyal
CUST100259,None,Very Satisfied,None,None,No,Loyal
CUST100260,None,Neutral,None,None,No,Loyal
CUST100261,None,Satisfied,None,None,No,Active
CUST100262,None,Satisfied,None,None,No,Loyal
CUST100263,None,Very Satisfied,None,None,No,Engaged
CUST100264,Other,Dissatisfied,None,Improve product quality,No,Involuntary
CUST100265,None,Very Dissatisfied,None,None,No,Active
CUST100266,None,Satisfied,None,None,No,Active
CUST100267,None,Satisfied,None,None,No,Loyal
CUST100268,Delivery issues,Dissatisfied,None,Enhance delivery service,No,Involuntary
CUST100269,None,Neutral,None,None,No,Active
CUST100270,Poor product quality,Neutral,Late deliveries,Lower prices,Yes,Downgrade
CUST100271,None,Neutral,None,None,No,Engaged
CUST100272,None,Satisfied,None,None,No,Engaged
CUST100273,None,Satisfied,None,None,No,Engaged
CUST100274,None,Satisfied,None,None,No,Loyal
CUST100275,None,Dissatisfied,None,None,No,Loyal
CUST100276,None,Dissatisfied,None,None,No,Active
CUST100277,None,Dissatisfied,None,None,No,Loyal
CUST100278,None,Neutral,None,None,No,Loyal
CUST100279,None,Neutral,None,None,No,Loyal
CUST100280,None,Dissatisfied,None,None,No,Active
CUST100281,Poor product quality,Neutral,Late deliveries,Increase selection,No,Inactive
CUST100282,None,Neutral,None,None,No,Engaged
CUST100283,None,Satisfied,None,None,No,Engaged
CUST100284,None,Very Satisfied,None,None,No,Loyal
CUST100285,None,Very Dissatisfied,None,None,No,Loyal
CUST100286,None,Very Dissatisfied,None,None,No,Active
CUST100287,None,Neutral,None,None,No,Loyal
CUST100288,None,Neutral,None,None,No,Engaged
CUST100289,None,Satisfied,None,None,No,Loyal
CUST100290,Delivery issues,Satisfied,None,Increase selection,No,Downgrade
CUST100291,None,Satisfied,None,None,No,Loyal
CUST100292,None,Very Satisfied,None,None,No,Loyal
CUST100293,None,Very Dissatisfied,None,None,No,Loyal
CUST100294,None,Very Dissatisfied,None,None,No,Active
CUST100295,Better options elsewhere,Dissatisfied,Late deliveries,Enhance delivery service,No,Involuntary
CUST100296,High prices,Dissatisfied,Damaged products,Improve product quality,Yes,Downgrade
CUST100297,Limited selection,Satisfied,Damaged products,Enhance delivery service,Yes,Downgrade
CUST100298,None,Dissatisfied,None,None,No,Active
CUST100299,None,Very Satisfied,None,None,No,Active
CUST100300,Limited selection,Very Satisfied,Late deliveries,Enhance delivery service,No,Involuntary
CUST100301,None,Neutral,None,None,No,Loyal
CUST100302,None,Neutral,None,None,No,Active
CUST100303,None,Dissatisfied,None,None,No,Engaged
CUST100304,None,Very Dissatisfied,None,None,No,Loyal
CUST100305,None,Very Satisfied,None,None,No,Engaged
CUST100306,Poor product quality,Very Satisfied,None,Lower prices,No,Inactive
CUST100307,None,Very Satisfied,None,None,No,Engaged
CUST100308,Better options elsewhere,Satisfied,None,Better customer support,Yes,Involuntary
CUST100309,None,Dissatisfied,None,None,No,Engaged
CUST100310,Delivery issues,Neutral,Customer service problems,Improve product quality,Yes,Downgrade
CUST100311,None,Satisfied,None,None,No,Active
CUST100312,High prices,Very Satisfied,Damaged products,Enhance delivery service,No,Downgrade
CUST100313,None,Very Dissatisfied,None,None,No,Active
CUST100314,None,Very Dissatisfied,None,None,No,Loyal
CUST100315,None,Satisfied,None,None,No,Active
CUST100316,None,Satisfied,None,None,No,Engaged
CUST100317,High prices,Very Satisfied,Damaged products,Enhance delivery service,No,Involuntary
CUST100318,None,Dissatisfied,None,None,No,Engaged
CUST100319,High prices,Very Dissatisfied,Payment issues,Better customer support,Yes,Inactive
CUST100320,None,Satisfied,None,None,No,Loyal
CUST100321,None,Satisfied,None,None,No,Loyal
CUST100322,None,Very Satisfied,None,None,No,Active
CUST100323,None,Very Dissatisfied,None,None,No,Engaged
CUST100324,None,Neutral,None,None,No,Active
CUST100325,Limited selection,Satisfied,Payment issues,Enhance delivery service,No,Involuntary
CUST100326,None,Satisfied,None,None,No,Engaged
CUST100327,None,Satisfied,None,None,No,Active
CUST100328,None,Very Dissatisfied,None,None,No,Engaged
CUST100329,None,Dissatisfied,None,None,No,Active
CUST100330,None,Satisfied,None,None,No,Loyal
CUST100331,None,Very Satisfied,None,None,No,Active
CUST100332,None,Very Satisfied,None,None,No,Loyal
CUST100333,None,Dissatisfied,None,None,No,Engaged
CUST100334,None,Dissatisfied,None,None,No,Loyal
CUST100335,Limited selection,Dissatisfied,Customer service problems,Enhance delivery service,No,Downgrade
CUST100336,None,Very Dissatisfied,None,None,No,Engaged
CUST100337,None,Very Satisfied,None,None,No,Loyal
CUST100338,None,Neutral,None,None,No,Loyal
CUST100339,None,Dissatisfied,None,None,No,Engaged
CUST100340,None,Satisfied,None,None,No,Loyal
CUST100341,None,Satisfied,None,None,No,Engaged
CUST100342,None,Very Satisfied,None,None,No,Active
CUST100343,None,Neutral,None,None,No,Active
CUST100344,None,Dissatisfied,None,None,No,Loyal
CUST100345,None,Satisfied,None,None,No,Active
CUST100346,None,Satisfied,None,None,No,Active
CUST100347,None,Dissatisfied,None,None,No,Active
CUST100348,None,Dissatisfied,None,None,No,Loyal
CUST100349,None,Satisfied,None,None,No,Loyal
CUST100350,None,Dissatisfied,None,None,No,Engaged
CUST100351,Better options elsewhere,Very Satisfied,Payment issues,Enhance delivery service,Yes,Involuntary
CUST100352,Other,Neutral,Customer service problems,Improve product quality,No,Downgrade
CUST100353,None,Neutral,None,None,No,Active
CUST100354,None,Very Dissatisfied,None,None,No,Active
CUST100355,None,Very Satisfied,None,None,No,Loyal
CUST100356,None,Satisfied,None,None,No,Active
CUST100357,Better options elsewhere,Neutral,Late deliveries,Lower prices,No,Downgrade
CUST100358,None,Very Dissatisfied,None,None,No,Engaged
CUST100359,Poor product quality,Very Dissatisfied,Customer service problems,Increase selection,Yes,Downgrade
CUST100360,None,Dissatisfied,None,None,No,Loyal
CUST100361,None,Neutral,None,None,No,Active
CUST100362,None,Dissatisfied,None,None,No,Active
CUST100363,None,Neutral,None,None,No,Loyal
CUST100364,None,Dissatisfied,None,None,No,Engaged
CUST100365,Delivery issues,Dissatisfied,Late deliveries,Improve product quality,No,Involuntary
CUST100366,Delivery issues,Very Satisfied,Late deliveries,Increase selection,Yes,Inactive
CUST100367,None,Very Satisfied,None,None,No,Engaged
CUST100368,Poor product quality,Very Dissatisfied,Customer service problems,Increase selection,No,Downgrade
CUST100369,None,Satisfied,None,None,No,Active
CUST100370,None,Very Satisfied,None,None,No,Engaged
CUST100371,None,Very Dissatisfied,None,None,No,Engaged
CUST100372,None,Neutral,None,None,No,Loyal
CUST100373,None,Very Satisfied,None,None,No,Loyal
CUST100374,None,Very Dissatisfied,None,None,No,Active
CUST100375,None,Neutral,None,None,No,Engaged
CUST100376,High prices,Neutral,Payment issues,Enhance delivery service,Yes,Inactive
CUST100377,Delivery issues,Dissatisfied,Customer service problems,Better customer support,No,Downgrade
CUST100378,None,Very Dissatisfied,None,None,No,Engaged
CUST100379,None,Satisfied,None,None,No,Loyal
CUST100380,None,Very Satisfied,None,None,No,Engaged
CUST100381,None,Very Satisfied,None,None,No,Active
CUST100382,None,Satisfied,None,None,No,Active
CUST100383,None,Dissatisfied,None,None,No,Engaged
CUST100384,None,Neutral,None,None,No,Loyal
CUST100385,Poor product quality,Satisfied,Damaged products,Improve product quality,Yes,Involuntary
CUST100386,None,Satisfied,None,None,No,Active
CUST100387,None,Satisfied,None,None,No,Active
CUST100388,None,Satisfied,None,None,No,Engaged
CUST100389,None,Dissatisfied,None,None,No,Loyal
CUST100390,None,Satisfied,None,None,No,Engaged
CUST100391,None,Dissatisfied,None,None,No,Engaged
CUST100392,None,Satisfied,None,None,No,Active
CUST100393,None,Very Dissatisfied,None,None,No,Active
CUST100394,None,Dissatisfied,None,None,No,Loyal
CUST100395,None,Dissatisfied,None,None,No,Loyal
CUST100396,None,Dissatisfied,None,None,No,Loyal
CUST100397,None,Dissatisfied,None,None,No,Loyal
CUST100398,None,Very Satisfied,None,None,No,Active
CUST100399,Better options elsewhere,Satisfied,Customer service problems,Enhance delivery service,No,Downgrade
CUST100400,None,Very Dissatisfied,None,None,No,Loyal
CUST100401,None,Satisfied,None,None,No,Loyal
CUST100402,Other,Very Satisfied,Late deliveries,Lower prices,Yes,Involuntary
CUST100403,None,Very Satisfied,None,None,No,Active
CUST100404,None,Dissatisfied,None,None,No,Active
CUST100405,None,Very Satisfied,None,None,No,Active
CUST100406,None,Neutral,None,None,No,Engaged
CUST100407,None,Very Dissatisfied,None,None,No,Loyal
CUST100408,None,Neutral,None,None,No,Loyal
CUST100409,None,Very Satisfied,None,None,No,Engaged
CUST100410,None,Neutral,None,None,No,Loyal
CUST100411,None,Very Dissatisfied,None,None,No,Loyal
CUST100412,None,Satisfied,None,None,No,Engaged
CUST100413,None,Satisfied,None,None,No,Loyal
CUST100414,None,Very Satisfied,None,None,No,Loyal
CUST100415,None,Very Satisfied,None,None,No,Engaged
CUST100416,None,Satisfied,None,None,No,Active
CUST100417,None,Very Satisfied,None,None,No,Loyal
CUST100418,None,Neutral,None,None,No,Loyal
CUST100419,None,Very Dissatisfied,None,None,No,Active
CUST100420,None,Satisfied,None,None,No,Loyal
CUST100421,None,Very Satisfied,None,None,No,Active
CUST100422,None,Dissatisfied,None,None,No,Engaged
CUST100423,None,Dissatisfied,None,None,No,Loyal
CUST100424,None,Very Satisfied,None,None,No,Engaged
CUST100425,None,Dissatisfied,None,None,No,Loyal
CUST100426,None,Very Dissatisfied,None,None,No,Engaged
CUST100427,None,Dissatisfied,None,None,No,Active
CUST100428,None,Dissatisfied,None,None,No,Active
CUST100429,None,Dissatisfied,None,None,No,Engaged
CUST100430,None,Very Satisfied,None,None,No,Engaged
CUST100431,None,Satisfied,None,None,No,Loyal
CUST100432,None,Very Satisfied,None,None,No,Active
CUST100433,None,Very Dissatisfied,None,None,No,Active
CUST100434,None,Dissatisfied,None,None,No,Active
CUST100435,None,Very Dissatisfied,None,None,No,Active
CUST100436,None,Very Satisfied,None,None,No,Loyal
CUST100437,None,Very Dissatisfied,None,None,No,Active
CUST100438,None,Satisfied,None,None,No,Loyal
CUST100439,None,Neutral,None,None,No,Engaged
CUST100440,None,Neutral,None,None,No,Active
CUST100441,None,Neutral,None,None,No,Active
CUST100442,None,Satisfied,None,None,No,Active
CUST100443,Other,Dissatisfied,Late deliveries,Improve product quality,No,Voluntary
CUST100444,High prices,Very Dissatisfied,Damaged products,Increase selection,No,Downgrade
CUST100445,None,Satisfied,None,None,No,Loyal
CUST100446,None,Satisfied,None,None,No,Loyal
CUST100447,Limited selection,Very Dissatisfied,Customer service problems,Increase selection,No,Voluntary
CUST100448,None,Dissatisfied,None,None,No,Loyal
CUST100449,None,Very Satisfied,None,None,No,Engaged
CUST100450,None,Neutral,None,None,No,Loyal
CUST100451,None,Very Satisfied,None,None,No,Loyal
CUST100452,None,Very Satisfied,None,None,No,Engaged
CUST100453,None,Very Satisfied,None,None,No,Engaged
CUST100454,None,Very Dissatisfied,None,None,No,Loyal
CUST100455,None,Very Satisfied,None,None,No,Active
CUST100456,High prices,Satisfied,Damaged products,Better customer support,No,Involuntary
CUST100457,None,Neutral,None,None,No,Loyal
CUST100458,None,Very Satisfied,None,None,No,Loyal
CUST100459,None,Dissatisfied,None,None,No,Active
CUST100460,None,Very Satisfied,None,None,No,Engaged
CUST100461,Limited selection,Neutral,Customer service problems,Improve product quality,Yes,Inactive
CUST100462,None,Very Dissatisfied,None,None,No,Loyal
CUST100463,None,Very Dissatisfied,None,None,No,Loyal
CUST100464,None,Dissatisfied,None,None,No,Loyal
CUST100465,None,Very Satisfied,None,None,No,Engaged
CUST100466,None,Neutral,None,None,No,Loyal
CUST100467,None,Neutral,None,None,No,Loyal
CUST100468,None,Satisfied,None,None,No,Active
CUST100469,None,Very Dissatisfied,None,None,No,Loyal
CUST100470,Better options elsewhere,Dissatisfied,Payment issues,Lower prices,No,Inactive
CUST100471,None,Satisfied,None,None,No,Loyal
CUST100472,None,Dissatisfied,None,None,No,Engaged
CUST100473,None,Very Satisfied,None,None,No,Loyal
CUST100474,None,Neutral,None,None,No,Loyal
CUST100475,None,Very Satisfied,None,None,No,Active
CUST100476,None,Dissatisfied,None,None,No,Engaged
CUST100477,None,Very Satisfied,None,None,No,Active
CUST100478,None,Dissatisfied,None,None,No,Engaged
CUST100479,None,Neutral,None,None,No,Engaged
CUST100480,None,Very Satisfied,None,None,No,Engaged
CUST100481,None,Satisfied,None,None,No,Engaged
CUST100482,None,Dissatisfied,None,None,No,Active
CUST100483,None,Satisfied,None,None,No,Active
CUST100484,None,Very Dissatisfied,None,None,No,Loyal
CUST100485,None,Dissatisfied,None,None,No,Engaged
CUST100486,None,Very Dissatisfied,None,None,No,Active
CUST100487,Better options elsewhere,Neutral,Late deliveries,Improve product quality,Yes,Downgrade
CUST100488,None,Very Dissatisfied,None,None,No,Loyal
CUST100489,None,Very Satisfied,None,None,No,Engaged
CUST100490,None,Dissatisfied,None,None,No,Engaged
CUST100491,None,Very Dissatisfied,None,None,No,Active
CUST100492,None,Very Satisfied,None,None,No,Loyal
CUST100493,None,Dissatisfied,None,None,No,Engaged
CUST100494,Limited selection,Very Satisfied,Customer service problems,Enhance delivery service,No,Inactive
CUST100495,None,Very Dissatisfied,None,None,No,Engaged
CUST100496,None,Dissatisfied,None,None,No,Loyal
CUST100497,None,Satisfied,None,None,No,Engaged
