CustomerID,TimeSpentOnPages,PagesVisited,SessionDetails
CUST126503,97.8082,27,Searched for products
CUST130983,72.936,33,Logged out
CUST109674,88.6033,5,Guest session
CUST114084,46.0651,37,Left site
CUST120950,82.9359,14,Left site
CUST101640,8.16227,8,Subscribed to newsletter
CUST121816,78.793,26,Viewed product details
CUST107858,45.1388,25,Subscribed to newsletter
CUST112544,23.2497,19,Guest session
CUST126659,1.75091,31,Left site
CUST105187,107.939,25,Guest session
CUST106723,113.198,47,Added to cart
CUST100665,63.7018,19,Logged in
CUST127229,38.3628,34,Added to cart
CUST102719,83.4939,30,Subscribed to newsletter
CUST118942,118.782,13,Guest session
CUST103190,27.3781,50,Logged in
CUST113690,83.2751,12,Logged in
CUST104163,16.7873,18,Subscribed to newsletter
CUST104711,97.7791,42,Guest session
CUST111437,27.9397,13,Checked out
CUST107712,97.3451,26,Added to cart
CUST132098,37.9434,24,Viewed product details
CUST127715,29.3548,41,Searched for products
CUST110642,6.58313,30,Guest session
CUST130004,51.9185,46,Logged out
CUST131346,52.3233,21,Logged in
CUST113463,89.9199,32,Logged in
CUST100443,105.452,32,Logged out
CUST122490,63.3007,35,Guest session
CUST120521,113.961,19,Added to cart
CUST131913,70.5144,33,Added to cart
CUST115356,85.073,7,Added to cart
CUST132632,49.1578,21,Left site
CUST114202,81.9987,4,Left site
CUST123036,108.797,23,Checked out
CUST114186,56.3204,28,Left site
CUST104530,101.98,48,Guest session
CUST110651,113.64,25,Added to cart
CUST113911,106.444,32,Added to cart
CUST131579,17.3307,38,Guest session
CUST128782,25.9996,22,Checked out
CUST112288,81.5683,18,Guest session
CUST108126,102.619,39,Searched for products
CUST101891,107.451,19,Left site
CUST102513,69.1614,19,Guest session
CUST113408,66.8929,3,Guest session
CUST106262,49.8799,23,Logged in
CUST109048,24.6575,32,Viewed product details
CUST110303,101.521,35,Browsed categories
CUST120655,15.5875,13,Subscribed to newsletter
CUST126372,68.1475,37,Checked out
CUST112110,116.028,40,Added to cart
CUST116990,108.195,31,Added to cart
CUST107969,111.926,26,Logged in
CUST126157,101.116,16,Searched for products
CUST129594,78.1365,17,Searched for products
CUST119219,84.8141,27,Added to cart
CUST102604,76.4079,23,Subscribed to newsletter
CUST121750,50.6968,35,Checked out
CUST128882,47.5312,21,Added to cart
CUST100386,52.4473,18,Browsed categories
CUST107302,17.2213,2,Guest session
CUST109893,30.974,46,Checked out
CUST112234,18.1476,30,Logged in
CUST116657,72.5457,15,Added to cart
CUST120770,86.6704,44,Guest session
CUST121182,24.6174,22,Viewed product details
CUST104503,95.2554,11,Added to cart
CUST120837,22.8595,27,Subscribed to newsletter
CUST125398,18.0893,5,Added to cart
CUST109477,17.338,31,Searched for products
CUST108079,32.3817,29,Searched for products
CUST113922,90.4158,45,Subscribed to newsletter
CUST107735,96.8236,10,Guest session
CUST103457,12.8121,1,Logged in
CUST123366,82.7718,42,Logged out
CUST100046,69.4057,26,Added to cart
CUST111738,99.6208,22,Browsed categories
CUST128790,47.6333,43,Left site
CUST103730,58.3116,2,Checked out
CUST106957,93.1729,17,Checked out
CUST128179,26.6013,32,Searched for products
CUST130314,86.7361,22,Added to cart
CUST107047,61.4626,9,Checked out
CUST108198,51.6085,26,Checked out
CUST115129,116.193,6,Guest session
CUST123584,38.3336,46,Browsed categories
CUST119578,22.2104,35,Viewed product details
CUST109115,84.1175,9,Logged in
CUST116735,23.5452,37,Left site
CUST117054,7.87416,3,Left site
CUST109217,71.4991,6,Viewed product details
CUST101812,116.539,26,Searched for products
CUST119868,30.4963,47,Left site
CUST132554,73.9571,26,Subscribed to newsletter
CUST111504,78.1548,30,Logged out
CUST118388,115.091,35,Searched for products
CUST107363,104.489,7,Logged in
CUST127464,64.2781,9,Searched for products
CUST119037,22.3489,29,Searched for products
CUST120353,101.309,50,Logged in
CUST111274,33.0163,12,Viewed product details
CUST113501,48.5706,47,Guest session
CUST101948,10.5109,9,Checked out
CUST117407,47.4802,5,Logged in
CUST102278,36.0615,15,Guest session
CUST111662,114.537,5,Checked out
CUST126690,51.2839,37,Guest session
CUST122388,11.0835,11,Guest session
CUST108460,64.0337,17,Logged out
CUST107168,24.2855,42,Guest session
CUST114373,70.4487,2,Browsed categories
CUST106213,30.2264,29,Checked out
CUST104721,51.6961,37,Searched for products
CUST102712,65.7806,23,Browsed categories
CUST123385,45.3686,20,Logged in
CUST116662,19.0813,35,Searched for products
CUST131562,52.6187,48,Logged in
CUST106172,111.765,37,Browsed categories
CUST107732,19.9274,45,Left site
CUST102253,21.8165,32,Subscribed to newsletter
CUST118955,15.1061,15,Browsed categories
CUST118319,112.699,24,Logged in
CUST101354,119.464,37,Subscribed to newsletter
CUST129326,108.056,31,Viewed product details
CUST103435,36.1454,35,Viewed product details
CUST120536,111.71,15,Guest session
CUST107536,87.7062,36,Added to cart
CUST107616,29.2818,40,Logged in
CUST117501,17.8231,21,Added to cart
CUST128059,20.5182,20,Subscribed to newsletter
CUST119388,18.7202,44,Left site
CUST105637,70.3065,5,Browsed categories
CUST111800,40.7843,28,Subscribed to newsletter
CUST112157,112.381,19,Searched for products
CUST107554,13.341,40,Added to cart
CUST109029,108.195,43,Searched for products
CUST106671,20.6604,29,Guest session
CUST118915,81.0176,23,Searched for products
CUST106231,74.6063,14,Checked out
CUST106563,105.193,30,Browsed categories
CUST114328,81.5063,21,Logged out
CUST125875,11.5722,25,Viewed product details
CUST102577,3.19146,17,Added to cart
CUST110629,4.17978,45,Logged in
CUST126568,92.7353,43,Added to cart
CUST128048,37.0243,9,Checked out
CUST122724,9.86175,1,Viewed product details
CUST112175,102.108,29,Guest session
CUST102484,42.5677,47,Logged in
CUST125633,114.139,45,Added to cart
CUST121190,13.3993,33,Searched for products
CUST101191,108.917,36,Added to cart
CUST120016,52.9579,34,Added to cart
CUST111721,38.4029,36,Logged out
CUST132427,14.0412,25,Checked out
CUST119954,118.497,23,Subscribed to newsletter
CUST101523,36.036,30,Left site
CUST125551,56.4699,1,Guest session
CUST127465,108.421,30,Browsed categories
CUST119668,26.1163,2,Searched for products
CUST129168,67.5385,36,Searched for products
CUST109143,44.5772,30,Logged in
CUST132691,26.4919,4,Subscribed to newsletter
CUST112019,21.3533,47,Subscribed to newsletter
CUST104958,43.2606,49,Subscribed to newsletter
CUST124391,1.50656,1,Guest session
CUST119265,102.495,20,Added to cart
CUST124116,5.54375,29,Left site
CUST131664,52.4838,2,Viewed product details
CUST111394,63.5086,45,Guest session
CUST121893,94.8542,8,Viewed product details
CUST120667,84.7193,39,Subscribed to newsletter
CUST107324,34.4022,31,Added to cart
CUST105550,41.2402,36,Checked out
CUST128246,37.6552,10,Guest session
CUST122766,106.521,3,Logged in
CUST106167,32.09,33,Browsed categories
CUST126961,32.2067,22,Left site
CUST132201,16.5612,2,Added to cart
CUST130065,33.6728,48,Checked out
CUST104182,87.914,16,Searched for products
CUST102607,77.2029,8,Browsed categories
CUST121553,64.2525,9,Browsed categories
CUST108491,78.3991,7,Subscribed to newsletter
CUST130670,19.4642,43,Guest session
CUST116204,55.7369,31,Checked out
CUST131270,55.8609,36,Left site
CUST109022,119.858,24,Searched for products
CUST124884,32.0316,28,Searched for products
CUST101007,59.4787,22,Browsed categories
CUST100122,82.4144,41,Left site
CUST124338,77.5822,25,Searched for products
CUST120349,16.5029,48,Logged out
CUST122429,48.6982,9,Subscribed to newsletter
CUST120548,107.279,7,Browsed categories
CUST109290,45.9375,34,Searched for products
CUST101501,42.3124,7,Viewed product details
CUST103609,106.2,50,Subscribed to newsletter
CUST131448,100.576,29,Searched for products
CUST132460,70.0293,5,Subscribed to newsletter
CUST122475,13.8916,31,Viewed product details
CUST108041,93.7455,43,Left site
CUST102508,54.1432,31,Left site
CUST101724,41.1563,8,Searched for products
CUST130970,44.0921,9,Guest session
CUST130675,25.5291,25,Searched for products
CUST120212,115.963,27,Checked out
CUST112416,70.2409,9,Logged in
CUST119808,110.631,1,Guest session
CUST118395,83.0782,31,Added to cart
CUST113414,7.5824,19,Added to cart
CUST107357,24.7742,45,Searched for products
CUST114642,71.014,21,Logged in
CUST121573,32.7027,31,Browsed categories
CUST103190,114.599,5,Added to cart
CUST126711,21.7545,21,Left site
CUST128901,35.9959,22,Subscribed to newsletter
CUST117944,76.9403,11,Subscribed to newsletter
CUST125017,67.5275,49,Browsed categories
CUST131860,84.1212,24,Logged out
CUST118734,26.0069,10,Viewed product details
CUST131385,32.9835,3,Added to cart
CUST118181,71.3058,35,Logged in
CUST124185,36.1746,49,Logged out
CUST101794,105.584,39,Guest session
CUST121323,64.6245,13,Browsed categories
CUST110094,83.6908,33,Added to cart
CUST100010,116.058,21,Checked out
CUST112182,39.807,16,Logged out
CUST101524,99.6901,5,Browsed categories
CUST105705,69.2088,15,Logged in
CUST103853,34.6392,23,Viewed product details
CUST122622,26.2621,10,Viewed product details
CUST127802,83.9753,21,Left site
CUST107980,14.0922,13,Added to cart
CUST117830,65.9958,47,Subscribed to newsletter
CUST130481,112.447,38,Checked out
CUST121888,115.686,18,Added to cart
CUST105612,60.7186,49,Added to cart
CUST114907,106.331,20,Added to cart
CUST112706,91.2182,13,Guest session
CUST121293,101.875,12,Browsed categories
CUST126268,44.548,16,Added to cart
CUST112145,47.4036,30,Subscribed to newsletter
CUST111847,113.246,24,Viewed product details
CUST103173,12.3745,22,Logged in
CUST126003,106.554,4,Logged in
CUST125645,30.4853,14,Viewed product details
CUST125461,104.42,20,Added to cart
CUST103117,14.2527,18,Left site
CUST108038,110.667,14,Added to cart
CUST125491,102.786,27,Guest session
CUST126593,19.8253,10,Logged out
CUST104555,8.7239,48,Browsed categories
CUST110472,17.214,24,Left site
CUST121768,112.888,46,Subscribed to newsletter
CUST117024,97.6441,5,Left site
CUST124770,4.59919,17,Searched for products
CUST128465,17.3526,30,Viewed product details
CUST119507,84.1978,46,Subscribed to newsletter
CUST114983,37.6115,40,Browsed categories
CUST104313,13.7275,38,Searched for products
CUST101939,70.0147,44,Subscribed to newsletter
CUST106391,110.365,42,Left site
CUST110091,91.4552,8,Left site
CUST124083,65.9374,37,Viewed product details
CUST132677,36.3205,21,Viewed product details
CUST106009,11.7326,26,Browsed categories
CUST116608,2.31983,46,Added to cart
CUST130903,104.446,19,Searched for products
CUST111580,53.0527,43,Added to cart
CUST100032,67.2868,39,Checked out
CUST128381,95.2225,49,Left site
CUST121833,0.83552,20,Checked out
CUST132363,69.5662,7,Added to cart
CUST114222,73.5523,6,Added to cart
CUST106549,96.9658,9,Browsed categories
CUST131886,47.9689,36,Left site
CUST118826,101.736,49,Left site
CUST107851,76.5793,43,Subscribed to newsletter
CUST131102,107.104,32,Added to cart
CUST123435,18.9208,40,Left site
CUST107467,7.8851,10,Left site
CUST125242,28.3446,41,Subscribed to newsletter
CUST126445,15.3504,37,Subscribed to newsletter
CUST104998,18.4394,46,Added to cart
CUST104133,101.255,24,Logged in
CUST119649,40.7078,7,Logged out
CUST111255,114.059,10,Checked out
CUST118946,19.8617,25,Browsed categories
CUST104492,89.3838,28,Subscribed to newsletter
CUST104804,41.8493,32,Added to cart
CUST120657,37.5932,43,Guest session
CUST130918,119.059,38,Checked out
CUST114518,45.1023,10,Logged out
CUST109866,30.1936,17,Browsed categories
CUST128400,91.8418,35,Guest session
CUST115830,71.3714,45,Browsed categories
CUST105431,62.9433,33,Added to cart
CUST101589,89.3619,33,Viewed product details
CUST100105,74.092,2,Added to cart
CUST111127,23.5524,36,Searched for products
CUST132485,35.0732,19,Viewed product details
CUST103117,44.5954,8,Guest session
CUST112048,5.00764,6,Left site
CUST106190,50.7077,24,Browsed categories
CUST126068,24.7559,24,Searched for products
CUST116149,75.2117,13,Searched for products
CUST109500,24.0484,38,Viewed product details
CUST128352,51.7179,29,Added to cart
CUST108793,42.2577,40,Subscribed to newsletter
CUST108658,12.524,14,Searched for products
CUST123808,45.9083,24,Checked out
CUST132306,3.18416,33,Logged in
CUST117674,59.8142,16,Browsed categories
CUST100907,71.7872,2,Browsed categories
CUST129042,14.4569,9,Searched for products
CUST118890,93.8805,3,Left site
CUST126299,26.5393,47,Viewed product details
CUST120387,30.6312,2,Left site
CUST128008,37.1848,36,Left site
CUST122796,22.6553,8,Browsed categories
CUST130849,2.88876,25,Logged out
CUST123999,80.5143,2,Viewed product details
CUST107189,41.6195,21,Subscribed to newsletter
CUST101980,88.9169,44,Checked out
CUST105042,56.0943,29,Subscribed to newsletter
CUST116837,5.12435,36,Searched for products
CUST122766,29.2855,23,Guest session
CUST121985,12.524,3,Left site
CUST118914,36.0761,48,Searched for products
CUST107130,31.8675,42,Added to cart
CUST124490,90.6237,14,Left site
CUST114271,24.2563,6,Checked out
CUST129927,68.4064,26,Viewed product details
CUST126723,10.2556,48,Logged out
CUST107229,61.448,49,Browsed categories
CUST126076,44.2344,50,Viewed product details
CUST101749,91.2401,13,Logged in
CUST120484,24.373,23,Viewed product details
CUST131452,15.8574,41,Browsed categories
CUST111515,55.3685,21,Guest session
CUST123041,109.249,23,Searched for products
CUST130627,49.3146,16,Viewed product details
CUST114331,42.2067,9,Left site
CUST115906,118.29,3,Logged in
CUST100257,89.0592,50,Checked out
CUST120580,85.6055,36,Logged in
CUST112368,19.0083,22,Logged in
CUST132407,27.7793,7,Checked out
CUST105801,93.6945,8,Logged in
CUST126541,54.6501,4,Added to cart
CUST112497,107.899,46,Searched for products
CUST122494,44.7231,40,Browsed categories
